question,option1,option2,option3,option4,correct,topic (optional),
"__ is a type of phishing that targets high-profile executives such as CEOs, CFOs, politicians, and celebrities who have access to confidential and highly valuable information.",A. Spear phishing,B. Whaling,C. Vishing,D. Phishing,B. Whaling,Phishing,
DHCP snooping is a great solution to prevent rogue DHCP servers on your network. Which security feature on switchers leverages the DHCP snooping database to help prevent man-in-the-middle attacks?,A. Spanning tree,B. Dynamic ARP Inspection (DAI),C. Port security,D. Layer 2 Attack Prevention Protocol (LAPP),B. Dynamic ARP Inspection (DAI),Network Security,
Bill has been hired as a penetration tester and cyber security auditor for a major credit card company. Which information security standard is most applicable to his role?,A. FISMA,B. HITECH,C. PCI-DSS,D. Sarbanes-OxleyAct,C. PCI-DSS,Compliance,
The establishment of a TCP connection involves a negotiation called three-way handshake. What type of message does the client send to the server in order to begin this negotiation?,A. ACK,B. SYN,C. RST,D. SYN-ACK,B. SYN,TCP/IP,
Which of the following LM hashes represent a password of less than 8 characters? (Choose two.),A. BA810DBA98995F1817306D272A9441BB,B. 44EFCE164AB921CQAAD3B435B51404EE,C. 0182BD0BD4444BF836077A718CCDF409,D. CEC52EB9C8E3455DC2265B23734E0DAC,B. 44EFCE164AB921CQAAD3B435B51404EE,D. CEC52EB9C8E3455DC2265B23734E0DAC,LM Hashes
"Although FTP traffic is not encrypted by default, which layer 3 protocol would allow for end-to-end encryption of the connection?",A. SFTP,B. Ipsec,C. SSL,D. FTPS,B. Ipsec,Encryption,
"Dayn, an attacker, wanted to detect if any honeypots are installed in a target network. For this purpose, he used a time-based TCP fingerprinting method to validate the response to a normal computer and the response of a honeypot to a manual SYN request. Which of the following techniques is employed by Dayn to detect honeypots?",A. Detecting honeypots running on Vmware,B. Detecting the presence of Honeyd honeypots,C. Detecting the presence of Snort_inline honeypots,D. Detecting the presence of Sebek-based honeypots,B. Detecting the presence of Honeyd honeypots,Honeypot Detection,
This TCP flag instructs the sending system to transmit all buffered data immediately.,A. SYN,B. RST,C. PSH,D. URG,C. PSH,TCP Flags,
What is the proper response for a NULL scan if the port is open?,A. NO RESPONSE,B. ACK,C. FIN,D. PSH,A. NO RESPONSE,,
"Based on the following extract from the log of a compromised machine, what is the hacker really trying to steal?",A. har.txt,B. SAM file,C. wwwroot,D. Repair file,B. SAM file,Windows Artifacts,
"A friend of yours tells you that he downloaded and executed a file that was sent to him by a coworker. Since the file did nothing when executed, he asks you for help because he suspects that he may have installed a trojan on his computer. what tests would you perform to determine whether his computer Is Infected?",A. Use ExifTool and check for malicious content.,"B. You do not check; rather, you immediately restore a previous snapshot of the operating system.",C. Upload the file to VirusTotal.,D. Use netstat and check for outgoing connections to strange IP addresses or domains.,C. Upload the file to VirusTotal.,Malware Analysis,
Which rootkit is characterized by its function of adding code and/or replacing some of the operating-system kernel code to obscure a backdoor on a system?,A. User-mode rootkit,B. Library-level rootkit,C. Kernel-level rootkit,D. Hypervisor-level rootkit,C. Kernel-level rootkit,Rootkits,
What is the common name for a vulnerability disclosure program opened by companies In platforms such as HackerOne?,A. Vulnerability hunting program,B. Bug bounty program,C. White-hat hacking program,D. Ethical hacking program,B. Bug bounty program,Bug Bounty,
What type of virus is most likely to remain undetected by antivirus software?,A. Cavity virus,B. Stealth virus,C. File-extension virus,D. Macro virus,B. Stealth virus,Virus Types,
What is the purpose of a demilitarized zone on a network?,A. To scan all traffic coming through the DMZ to the internal network,B. To only provide direct access to the nodes within the DMZ and protect the network behind it,C. To provide a place to put the honeypot,D. To contain the network devices you wish to protect,B. To only provide direct access to the nodes within the DMZ and protect the network behind it,Network Architecture,
"The tools which receive event logs from servers, network equipment, and applications, and perform analysis and correlation on those logs, and can generate alarms for security relevant issues, are known as what?",A. network Sniffer,B. Vulnerability Scanner,C. Intrusion prevention Server,D. Security incident and event Monitoring,D. Security incident and event Monitoring,SIEM,
During an Xmas scan what indicates a port is closed?,A. No return response,B. RST,C. ACK,D. SYN,B. RST,Port Scanning,
What term describes the amount of risk that remains after the vulnerabilities are classified and the countermeasures have been deployed?,A. Residual risk,B. Impact risk,C. Deferred risk,D. Inherent risk,A. Residual risk,Risk Management,
"Don, a student, came across a gaming app in a third-party app store and Installed it. Subsequently, all the legitimate apps in his smartphone were replaced by deceptive applications that appeared legitimate. He also received many advertisements on his smartphone after Installing the app. What is the attack performed on Don in the above scenario?",A. SMS phishing attack,B. SIM card attack,C. Agent Smith attack,D. Clickjacking,C. Agent Smith attack,Mobile Attacks,
"Morris, a professional hacker, performed a vulnerability scan on a target organization by sniffing the traffic on the network lo identify the active systems, network services, applications, and vulnerabilities. He also obtained the list of the users who are currently accessing the network. What is the type of vulnerability assessment that Morris performed on the target organization?",A. internal assessment,B. Passive assessment,C. External assessment,D. Credentialed assessment,B. Passive assessment,Vulnerability Assessment,
You have successfully logged on a Linux system. You want to now cover your trade Your login attempt may be logged on several files located in /var/log. Which file does NOT belongs to the list:,A. user.log,B. auth.fesg,C. wtmp,D. btmp,A. user.log,Linux Logs,
"You are the Network Admin, and you get a complaint that some of the websites are no longer accessible. You try to ping the servers and find them to be reachable. Then you type the IP address and then you try on the browser, and find it to be accessible. But they are not accessible when you try using the URL. What may be the problem?",A. Traffic is Blocked on UDP Port 53,B. Traffic is Blocked on TCP Port 80,C. Traffic is Blocked on TCP Port 54,D. Traffic is Blocked on UDP Port 80,A. Traffic is Blocked on UDP Port 53,DNS,
"Taylor, a security professional, uses a tool to monitor her company's website, analyze the website's traffic, and track the geographical location of the users visiting the company's website. Which of the following tools did Taylor employ in the above scenario?",A. WebSite Watcher,B. web-Stat,C. Webroot,D. WAFW00F,B. web-Stat,Web Analytics,
You are a security officer of a company. You had an alert from IDS that indicates that one PC on your Intranet is connected to a blacklisted IP address (C2 Server) on the Internet. The IP address was blacklisted just before the alert. You are starting an investigation to roughly analyze the severity of the situation. Which of the following is appropriate to analyze?,A. IDS log,B. Event logs on domain controller,C. Internet Firewall/Proxy log,D. Event logs on the PC,D. Event logs on the PC,Incident Response,
"Abel, a security professional, conducts penetration testing in his client organization to check for any security loopholes. He launched an attack on the DHCP servers by broadcasting forged DHCP requests and leased all the DHCP addresses available in the DHCP scope until the server could not issue any more IP addresses. This led to a Dos attack, and as a result, legitimate employees were unable to access the clients network. Which of the following attacks did Abel perform in the above scenario?",A. VLAN hopping,B. DHCP starvation,C. Rogue DHCP server attack,D. STP attack,B. DHCP starvation,DHCP Attacks,
"Which of the following algorithms can be used to guarantee the integrity of messages being sent, in transit, or stored?",A. symmetric algorithms,B. asymmetric algorithms,C. hashing algorithms,D. integrity algorithms,C. hashing algorithms,Cryptography,
Which of the following program infects the system boot sector and the executable files at the same time?,A. Polymorphic virus,B. Stealth virus,C. Multipartite Virus,D. Macro virus,C. Multipartite Virus,Virus Types,
You are tasked to configure the DHCP server to lease the last 100 usable IP addresses in subnet to. 1.4.0/23. Which of the following IP addresses could be teased as a result of the new configuration?,A. 210.1.55.200,B. 10.1.4.254,C. 10..1.5.200,D. 10.1.4.156,C. 10..1.5.200,Subnetting,
"Which among the following is the best example of the hacking concept called ""clearing tracks""?","A. After a system is breached, a hacker creates a backdoor to allow re-entry into a system.","B. During a cyberattack, a hacker injects a rootkit into a server.",C. An attacker gains access to a server through an exploitable vulnerability,"D. During a cyberattack, a hacker corrupts the event logs on all machines.","D. During a cyberattack, a hacker corrupts the event logs on all machines.",OpSec,
"The network team has well-established procedures to follow for creating new rules on the firewall. This includes having approval from a manager prior to implementing any new rules. While reviewing the firewall configuration, you notice a recently implemented rule but cannot locate manager approval for it. What would be a good step to have in the procedures for a situation like this?",A. Have the network team document the reason why the rule was implemented without prior manager approval.,B. Monitor all traffic using the firewall rule until a manager can approve it.,"C. Do not roll back the firewall rule as the business may be relying upon it, but try to get manager approval as soon as possible.",D. Immediately roll back the firewall rule until a manager can approve it,"C. Do not roll back the firewall rule as the business may be relying upon it, but try to get manager approval as soon as possible.",Change Management,
What did the following commands determine?,A. That the Joe account has a SID of 500,B. These commands demonstrate that the guest account has NOT been disabled,C. These commands demonstrate that the guest account has been disabled,D. That the true administrator is Joe,C. These commands demonstrate that the guest account has been disabled,Windows Accounts,
"Let's imagine three companies (A, B and C), all competing in a challenging global environment. Company A and B are working together in developing a product that will generate a major competitive advantage for them. Company A has a secure DNS server while company B has a DNS server vulnerable to spoofing. With a spoofing attack on the DNS server of company B, company C gains access to outgoing e-mails from company B. How do you prevent DNS spoofing?",A. Install DNS logger and track vulnerable packets,B. Disable DNS timeouts,C. Install DNS Anti-spoofing,D. Disable DNS Zone Transfer,D. Disable DNS Zone Transfer,DNS Security,
"Jake, a professional hacker, installed spyware on a target iPhone to spy on the target user's activities. He can take complete control of the target mobile device by jailbreaking the device remotely and record audio, capture screenshots, and monitor all phone calls and SMS messages. What is the type of spyware that Jake used to infect the target device?",A. DroidSheep,B. Androrat,C. Zscaler,D. Trident,D. Trident,Mobile Spyware,
"Emily, an extrovert obsessed with social media, posts a large amount of private information, photographs, and location tags of recently visited places. Realizing this. James, a professional hacker, targets Emily and her acquaintances, conducts a location search to detect their geolocation by using an automated tool, and gathers information to perform other sophisticated attacks. What is the tool employed by James in the above scenario?",A. ophcrack,B. Hootsuite,C. VisualRoute,D. HULK,C. VisualRoute,OSINT,
Which of the following tools can be used for passive OS fingerprinting?,A. nmap,B. tcpdump,C. tracert,D. ping,B. tcpdump,OS Fingerprinting,
"Wilson, a professional hacker, targets an organization for financial benefit and plans to compromise its systems by sending malicious emails. For this purpose, he uses a tool to track the emails of the target and extracts information such as sender identities, mall servers, sender IP addresses, and sender locations from different public sources. He also checks if an email address was leaked using the haveibeenpwned.com API. Which of the following tools is used by Wilson in the above scenario?",A. Factiva,B. Netcraft,C. infoga,D. Zoominfo,C. infoga,OSINT,
"Jude, a pen tester working in Keiltech Ltd., performs sophisticated security testing on his company's network infrastructure to identify security loopholes. In this process, he started to circumvent the network protection tools and firewalls used in the company. He employed a technique that can create forged TCP sessions by carrying out multiple SYN, ACK, and RST or FIN packets. Further, this process allowed Jude to execute DDoS attacks that can exhaust the network resources. What is the attack technique used by Jude for finding loopholes in the above scenario?",A. UDP flood attack,B. Ping-of-death attack,C. Spoofed session flood attack,D. Peer-to-peer attack,C. Spoofed session flood attack,DDoS,
"In the field of cryptanalysis, what is meant by a “rubber-hose attack?""",A. Attempting to decrypt cipher text by making logical assumptions about the contents of the original plain text.,B. Extraction of cryptographic secrets through coercion or torture.,C. Forcing the targeted key stream through a hardware-accelerated device such as an ASIC.,D. A backdoor placed into a cryptographic algorithm by its creator.,B. Extraction of cryptographic secrets through coercion or torture.,Cryptanalysis,
"What is the following command used for? sqlmap.py-u ,,http://10.10.1.20/?p=1 &forumaction=search"" -dbs",A. Creating backdoors using SQL injection,B. Enumerating the databases in the DBMS for the URL,C. Retrieving SQL statements being executed on the database,D. Searching database statements at the IP address given,B. Enumerating the databases in the DBMS for the URL,SQLmap,
An attacker scans a host with the below command. Which three flags are set? # nmap -sX host.domain.com,A. This is SYN scan. SYN flag is set.,"B. This is Xmas scan. URG, PUSH and FIN are set.",C. This is ACK scan. ACK flag is set.,D. This is Xmas scan. SYN and ACK flags are set.,"B. This is Xmas scan. URG, PUSH and FIN are set.",Nmap,
A post-breach forensic investigation revealed that a known vulnerability in Apache Struts was to blame for the Equifax data breach that affected 143 million customers. A fix was available from the software vendor for several months prior 10 the Intrusion. This Is likely a failure in which of the following security processes?,A. vendor risk management,B. Security awareness training,C. Secure deployment lifecycle,D. Patch management,D. Patch management,Patch Management,
Bob was recently hired by a medical company after it experienced a major cyber security breach. Many patients are complaining that their personal medical records are fully exposed on the Internet and someone can find them with a simple Google search. Bob's boss is very worried because of regulations that protect those data. Which of the following regulations is mostly violated?,A. HIPPA/PHl,B. Pll,C. PCIDSS,D. ISO 2002,A. HIPPA/PHl,Compliance,
"If a tester is attempting to ping a target that exists but receives no response or a response that states the destination is unreachable, ICMP may be disabled and the network may be using TCP. Which other option could the tester use to get a response from a host using TCP?",A. Traceroute,B. Hping,C. TCP ping,D. Broadcast ping,B. Hping,Scanning,
what are common files on a web server that can be misconfigured and provide useful Information for a hacker such as verbose error messages?,A. httpd.conf,B. administration.config,C. idq.dll,D. php.ini,D. php.ini,Web Server,
"Sam, a web developer, was instructed to incorporate a hybrid encryption software program into a web application to secure email messages. Sam used an encryption software, which is a free implementation of the OpenPGP standard that uses both symmetric-key cryptography and asymmetric-key cryptography for improved speed and secure key exchange. What is the encryption software employed by Sam for securing the email messages?",A. PGP,B. S/MIME,C. SMTP,D. GPG,D. GPG,Encryption,
Which results will be returned with the following Google search query? site:target.com – site:Marketing.target.com accounting,A. Results from matches on the site marketing.target.com that are in the domain target.com but do not include the word accounting.,B. Results matching all words in the query,C. Results for matches on target.com and Marketing.target.com that include the word “accounting”,D. Results matching “accounting” in domain target.com but not on the site Marketing.target.com,D. Results matching “accounting” in domain target.com but not on the site Marketing.target.com,Google Dorks,
Which Intrusion Detection System is the best applicable for large environments where critical assets on the network need extra scrutiny and is ideal for observing sensitive network segments?,A. Honeypots,B. Firewalls,C. Network-based intrusion detection system (NIDS),D. Host-based intrusion detection system (HIDS),C. Network-based intrusion detection system (NIDS),IDS,
"Leverox Solutions hired Arnold, a security professional, for the threat intelligence process. Arnold collected information about specific threats against the organization. From this information, he retrieved contextual information about security events and incidents that helped him disclose potential risks and gain insight into attacker methodologies. He collected the information from sources such as humans, social media, and chat rooms as well as from events that resulted in cyberattacks. In this process, he also prepared a report that includes identified malicious activities, recommended courses of action, and warnings for emerging attacks. What is the type of threat intelligence collected by Arnold in the above scenario?",A. Strategic threat intelligence,B. Tactical threat intelligence,C. Operational threat intelligence,D. Technical threat intelligence,C. Operational threat intelligence,Threat Intelligence,
"Becky has been hired by a client from Dubai to perform a penetration test against one of their remote offices. Working from her location in Columbus, Ohio, Becky runs her usual reconnaissance scans to obtain basic information about their network. When analyzing the results of her Whois search, Becky notices that the IP was allocated to a location in Le Havre, France. Which regional Internet registry should Becky go to for detailed information?",A. ARIN,B. APNIC,C. RIPE,D. LACNIC,C. RIPE,Whois,
"Matthew, a black hat, has managed to open a meterpreter session to one of the kiosk machines in Evil Corp’s lobby. He checks his current SID, which is S-1-5-21-1223352397-1872883824-861252104-501. What needs to happen before Matthew has full administrator access?",A. He must perform privilege escalation.,B. He needs to disable antivirus protection.,C. He needs to gain physical access.,"D. He already has admin privileges, as shown by the “501” at the end of the SID.",A. He must perform privilege escalation.,Privilege Escalation,
"A hacker has successfully infected an internet-facing server which he will then use to send junk mail, take part in coordinated attacks, or host junk email content. Which sort of trojan infects this server?",A. Botnet Trojan,B. Banking Trojans,C. Turtle Trojans,D. Ransomware Trojans,A. Botnet Trojan,Trojans,
"While examining audit logs, you discover that people are able to telnet into the SMTP server on port 25. You would like to block this, though you do not see any evidence of an attack or other wrong doing. However, you are concerned about affecting the normal functionality of the email server. From the following options choose how best you can achieve this objective?",A. Block port 25 at the firewall,B. Shut off the SMTP service on the server,C. Force all connections to use a username and password,D. Switch from Windows Exchange to UNIX Sendmail.,C. Force all connections to use a username and password,Email Security,
Which of the following tools can be used to perform a zone transfer?,A. NSLookup,B. Finger,C. Dig,D. Sam Spade,C. Dig,DNS,
"Sam is a penetration tester hired by Inception Tech, a security organization. He was asked to perform port scanning on a target host in the network. While performing the given task, Sam sends FIN/ACK probes and determines that an RST packet is sent in response by the target host, indicating that the port is closed. What is the port scanning technique used by Sam to discover open ports?",A. Xmas scan,B. IDLE/IPID header scan,C. TCP Maimon scan,D. ACK flag probe scan,C. TCP Maimon scan,Nmap,
What is the minimum number of network connections in a multi homed firewall?,A. 3,B. 50,C. 4,D. 2,A. 3,Firewalls,
Which of the following statements is FALSE with respect to Intrusion Detection Systems?,A. Intrusion Detection Systems can be configured to distinguish specific content in network packets,B. Intrusion Detection Systems can easily distinguish a malicious payload in an encrypted traffic,C. Intrusion Detection Systems require constant update of the signature library,D. Intrusion Detection Systems can examine the contents of the data n context of the network protocol,B. Intrusion Detection Systems can easily distinguish a malicious payload in an encrypted traffic,IDS,
"Alex, a cloud security engineer working in Eyecloud Inc. is tasked with isolating applications from the underlying infrastructure and stimulating communication via well-defined channels. For this purpose, he used an open-source technology that helped him in developing, packaging, and running applications; further, the technology provides PaaS through OS-level visualization, delivers containerized software packages, and promotes fast software delivery. What is the cloud technology employed by Alex in the above scenario?",A. Virtual machine,B. Serverless computing,C. Docker,D. Zero trust network,C. Docker,Containers,
"Judy created a forum, one day. she discovers that a user is posting strange images without writing comments. She immediately calls a security expert, who discovers that the following code is hidden behind those images: What issue occurred for the users who clicked on the image?",A. The code inject a new cookie to the browser.,B. The code redirects the user to another site.,C. The code is a virus that is attempting to gather the users username and password.,D. This php file silently executes the code and grabs the users session cookie and session ID,D. This php file silently executes the code and grabs the users session cookie and session ID,Web Attacks,
"From the following table, identify the wrong answer in terms of Range (ft). Standard Range (ft) 802.11a 150-150 802.11b 150-150 802.11g 150-150 802.16 (WiMax) 30 miles",A. 802.16 (WiMax),B. 802.11g,C. 802.11b,D. 802.11a,A. 802.16 (WiMax),Wireless Standards,
"Henry Is a cyber security specialist hired by BlackEye - Cyber security solutions. He was tasked with discovering the operating system (OS) of a host. He used the Unkornscan tool to discover the OS of the target system. As a result, he obtained a TTL value, which Indicates that the target system is running a Windows OS. Identify the TTL value Henry obtained, which indicates that the target OS is Windows.",A. 64,B. 128,C. 255,D. 138,B. 128,TTL,
An attacker with access to the inside network of a small company launches a successful STP manipulation attack. What will he do next?,A. He will create a SPAN entry on the spoofed root bridge and redirect traffic to his computer.,B. He will activate OSPF on the spoofed root bridge.,C. He will repeat this action so that it escalates to a DoS attack.,D. He will repeat the same attack against all L2 switches of the network.,A. He will create a SPAN entry on the spoofed root bridge and redirect traffic to his computer.,Layer 2 Attacks,
Clark is a professional hacker. He created and configured multiple domains pointing to the same host to switch quickly between the domains and avoid detection. Identify the behavior of the adversary In the above scenario.,A. use of command-line interface,B. Data staging,C. Unspecified proxy activities,D. Use of DNS tunneling,C. Unspecified proxy activities,OpSec,
Which of these is capable of searching for and locating rogue access points?,A. HIDS,B. WISS,C. WIPS,D. NIDS,C. WIPS,Wireless Security,
One of your team members has asked you to analyze the following SOA record. What is the version? Rutgers.edu.SOA NS1.Rutgers.edu ipad.college.edu (200302028 3600 3600 604800 2400.) (Choose four.),A. 200303028,B. 3600,C. 604800,D. 2400,A. 200303028,DNS,
Which of the following steps for risk assessment methodology refers to vulnerability identification?,"A. Determines if any flaws exist in systems, policies, or procedures",B. Assigns values to risk probabilities; Impact values.,"C. Determines risk probability that vulnerability will be exploited (High. Medium, Low)","D. Identifies sources of harm to an IT system. (Natural, Human. Environmental)","A. Determines if any flaws exist in systems, policies, or procedures",Risk Assessment,
Which of the following is not a Bluetooth attack?,A. Bluedriving,B. Bluesmacking,C. Blue197jacking,D. Bluesnarfing,A. Bluedriving,Bluetooth Attacks,
What is the first step for a hacker conducting a DNS cache poisoning (DNS spoofing) attack against an organization?,A. The attacker queries a nameserver using the DNS resolver.,B. The attacker makes a request to the DNS resolver.,C. The attacker forges a reply from the DNS resolver.,D. The attacker uses TCP to poison the a DNS resolver.,B. The attacker makes a request to the DNS resolver.,DNS Poisoning,
Websites and web portals that provide web services commonly use the Simple Object Access Protocol (SOAP). Which of the following is an incorrect definition or characteristics of the protocol?,A. Exchanges data between web services,B. Only compatible with the application protocol HTTP,C. Provides a structured model for messaging,D. Based on XML,B. Only compatible with the application protocol HTTP,SOAP,
Which of the following commands checks for valid users on an SMTP server?,A. RCPT,B. CHK,C. VRFY,D. EXPN,C. VRFY,SMTP Enumeration,
What would you enter if you wanted to perform a stealth scan using Nmap?,A. nmap -sM,B. nmap -sU,C. nmap -sS,D. nmap -sT,C. nmap -sS,Nmap,
Gavin owns a white-hat firm and is performing a website security audit for one of his clients. He begins by running a scan which looks for common misconfigurations and outdated software versions. Which of the following tools is he most likely using?,A. Nikto,B. Nmap,C. Metasploit,D. Armitage,A. Nikto,Web Scanning,
A network admin contacts you. He is concerned that ARP spoofing or poisoning might occur on his network. What are some things he can do to prevent it? Select the best answers.,A. Use port security on his switches.,B. Use a tool like ARPwatch to monitor for strange ARP activity,C. Use a firewall between all LAN segments.,"D. If you have a small network, use static ARP entries",B. Use a tool like ARPwatch to monitor for strange ARP activity,ARP Spoofing,
"Which DNS resource record can indicate how long any ""DNS poisoning"" could last?",A. MX,B. SOA,C. NS,D. TIMEOUT,B. SOA,DNS,
Why should the security analyst disable/remove unnecessary ISAPI filters?,A. To defend against social engineering attacks,B. To defend against webserver attacks,C. To defend against jailbreaking,D. To defend against wireless attacks,B. To defend against webserver attacks,Web Server Security,
The “Gray-box testing” methodology enforces what kind of restriction?,A. Only the external operation of a system is accessible to the tester.,B. The internal operation of a system in only partly accessible to the tester,C. Only the internal operation of a system is known to the tester,D. The internal operation of a system is completely known to the tester,B. The internal operation of a system in only partly accessible to the tester,Penetration Testing,
Which of the following Google advanced search operators helps an attacker in gathering information about websites that are similar to a specified target URL?,A. [inurl:],B. [related:],C. [info:],D. [site:],B. [related:],Google Dorks,
A company’s security policy states that all Web browsers must automatically delete their HTTP browser cookies upon terminating. What sort of security breach is this policy attempting to mitigate?,A. Attempts by attackers to access the user and password information stored in the company’s SQL database,B. Attempts by attackers to access Web sites that trust the Web browser user by stealing the user’s authentication credentials.,C. Attempts by attackers to access password stored on the user’s computer without the user’s knowledge.,"D. Attempts by attackers to determine the user’s Web browser usage patterns, including when sites were visited and for how long.",B. Attempts by attackers to access Web sites that trust the Web browser user by stealing the user’s authentication credentials.,Session Management,
How does a denial-of-service attack work?,A. A hacker prevents a legitimate user (or group of users) from accessing a service,"B. A hacker uses every character, word, or letter he or she can think of to defeat authentication","C. A hacker tries to decipher a password by using a system, which subsequently crashes the network",D. A hacker attempts to imitate a legitimate user by confusing a computer or even another person,A. A hacker prevents a legitimate user (or group of users) from accessing a service,DoS,
"A technician is resolving an issue where a computer is unable to connect to the Internet using a wireless access point. The computer is able to transfer files locally to other machines, but cannot successfully reach the Internet. When the technician examines the IP address and default gateway they are both on the 192.168.1.0/24. Which of the following has occurred?",A. The computer is not using a private IP address.,B. The gateway is not routing to a public IP address.,C. The gateway and the computer are not on the same network.,D. The computer is using an invalid IP address.,B. The gateway is not routing to a public IP address.,Networking,
What hacking attack is challenge/response authentication used to prevent?,A. Replay attacks,B. Scanning attacks,C. Session hijacking attacks,D. Password cracking attacks,A. Replay attacks,Authentication,
"When considering how an attacker may exploit a web server, what is web server footprinting?",A. When an attacker implements a vulnerability scanner to identify weaknesses,B. When an attacker creates a complete profile of the site's external links and file structures,"C. When an attacker gathers system-level data, including account details and server names",D. When an attacker uses a brute-force attack to crack a web-server password,B. When an attacker creates a complete profile of the site's external links and file structures,Reconnaissance,
What is correct about digital signatures?,A. A digital signature cannot be moved from one signed document to another because it is the hash of the original document encrypted with the private key of the signing party.,B. Digital signatures may be used in different documents of the same type.,C. A digital signature cannot be moved from one signed document to another because it is a plain HASH of the document content.,D. Digital signatures are issued once for each user and can be used everywhere until they expire.,A. A digital signature cannot be moved from one signed document to another because it is the hash of the original document encrypted with the private key of the signing party.,Digital Signatures,
What is the main security service a cryptographic hash provides?,A. Integrity and ease of computation,B. Message authentication and collision resistance,C. Integrity and collision resistance,D. Integrity and computational in-feasibility,C. Integrity and collision resistance,Hashing,
A security analyst is performing an audit on the network to determine if there are any deviations from the security policies in place. The analyst discovers that a user from the IT department had a dial-out modem installed. Which security policy must the security analyst check to see if dial-out modems are allowed?,A. Firewall-management policy,B. Acceptable-use policy,C. Permissive policy,D. Remote-access policy,D. Remote-access policy,Policy,
Which command can be used to show the current TCP/IP connections?,A. Netsh,B. Netstat,C. Net use connection,D. Net use,B. Netstat,Windows Commands,
infecting a system with malware and using phishing to gain credentials to a system or web application are examples of which phase of the ethical hacking methodology?,A. Reconnaissance,B. Maintaining access,C. Scanning,D. Gaining access,D. Gaining access,Ethical Hacking,
Which Nmap switch helps evade IDS or firewalls?,A. -n/-R,B. -0N/-0X/-0G,C. -T,D. -D,D. -D,Nmap,
Which among the following is the best example of the third step (delivery) in the cyber kill chain?,A. An intruder sends a malicious attachment via email to a target.,B. An intruder creates malware to be used as a malicious attachment to an email.,C. An intruder's malware is triggered when a target opens a malicious email attachment.,D. An intruder's malware is installed on a target's machine.,A. An intruder sends a malicious attachment via email to a target.,Cyber Kill Chain,
"Email is transmitted across the Internet using the Simple Mail Transport Protocol. SMTP does not encrypt email, leaving the information in the message vulnerable to being read by an unauthorized person. SMTP can upgrade a connection between two mail servers to use TLS. Email transmitted by SMTP over TLS is encrypted. What is the name of the command used by SMTP to transmit email over TLS?",A. OPPORTUNISTICTLS,B. UPGRADETLS,C. FORCETLS,D. STARTTLS,D. STARTTLS,SMTP,
"Which of the following types of SQL injection attacks extends the results returned by the original query, enabling attackers to run two or more statements if they have the same structure as the original one?",A. Error-based injection,B. Boolean-based blind SQL injection,C. Blind SQL injection,D. Union SQL injection,D. Union SQL injection,SQL Injection,
Which type of attack attempts to overflow the content-addressable memory (CAM) table in an Ethernet switch?,A. Evil twin attack,B. DNS cache flooding,C. MAC flooding,D. DDoS attack,C. MAC flooding,Layer 2 Attacks,
